"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"217716_s_at",1.65784668060447,10.8953163434442,11.2231952620009,1.74704923170003e-19,5.02033238509349e-17,33.8260647148184
"205191_at",1.81849568159546,8.81871629829791,11.2222071769498,1.75577881741134e-19,5.02033238509349e-17,33.821167610456
"211458_s_at",-2.3541697764246,11.6487446125126,-11.2132034648745,1.83736692755492e-19,5.21738451878411e-17,33.7765412324735
"219549_s_at",-1.23911685691602,12.9614628536481,-11.2125105276055,1.84380131493478e-19,5.21738451878411e-17,33.7731065374667
"201999_s_at",1.72570414973806,11.8354612086553,11.2083602010533,1.8828153272757e-19,5.28617177436273e-17,33.7525339655626
"227812_at",2.52818890416346,9.39195646046289,11.2078708954098,1.88746909344063e-19,5.28617177436273e-17,33.7501084833934
"226154_at",-1.00312699993292,11.7013347861614,-11.2044490455093,1.92033796187198e-19,5.35078658733236e-17,33.7331460353789
"200921_s_at",1.36141688483597,12.2182332334092,11.2008642554015,1.95538739613276e-19,5.42079044999993e-17,33.7153751657973
"205637_s_at",-3.04124288506583,10.1123207137193,-11.1994448402639,1.96944192274092e-19,5.43217837003283e-17,33.7083385025836
"233888_s_at",1.85032299710883,9.81810963091166,11.1970926438337,1.9929557464661e-19,5.46941166742479e-17,33.6966773832403
"206384_at",-5.17611431622325,6.51060692927272,-11.1918295616993,2.04659243285313e-19,5.58852762677041e-17,33.6705842889014
"215411_s_at",2.09102525607947,8.71610469170326,11.1898578695876,2.06705660438072e-19,5.61632648433057e-17,33.6608087131759
"215711_s_at",3.13189069213148,8.71605990197716,11.1833678315265,2.13587617894508e-19,5.77458444360038e-17,33.6286298085083
"223174_at",-1.26820581922283,10.1639087312503,-11.179526836684,2.1776824014317e-19,5.8434601113152e-17,33.6095842800924
"202252_at",1.88976354045791,11.5285276436626,11.1790661744332,2.18275110817626e-19,5.8434601113152e-17,33.6073000364051
"213636_at",-2.71735409877286,8.85339887303988,-11.1736716414975,2.24299487401481e-19,5.9642760382192e-17,33.5805497813502
"213729_at",1.27470482791965,10.8459393652653,11.1730782646503,2.24972234426447e-19,5.9642760382192e-17,33.5776072625384
"236641_at",3.18909397475338,7.25871515709966,11.1607263790726,2.39444711798871e-19,6.31729180940663e-17,33.5163506055072
"201033_x_at",1.12505094146059,14.0640031390014,11.1555929696326,2.4573053999504e-19,6.45196249074478e-17,33.4908900334839
"238658_at",-1.86861826617301,8.03237992721775,-11.1412901717952,2.64130227580435e-19,6.9018871382059e-17,33.4199437162691
"212383_at",-1.23830963470812,11.5243603720837,-11.1370568780781,2.69836393978037e-19,7.01741665920122e-17,33.3989431274759
"226779_at",-1.27271101601149,11.3555297727913,-11.1321833944043,2.76558622875395e-19,7.15814979672699e-17,33.3747654715065
"202754_at",-1.42010307114339,11.1333488944181,-11.1248220771532,2.87031974765627e-19,7.39418737635622e-17,33.3382430859333
"205630_at",-3.19076134272474,7.0295836371974,-11.1226271478734,2.90231073497272e-19,7.42402048672716e-17,33.3273526152015
"217762_s_at",1.32966264943812,12.4571101638196,11.1221652474137,2.9090882833018e-19,7.42402048672716e-17,33.3250607938501
"51158_at",-1.2309515146721,7.79607220564277,-11.1141378920569,3.02944062040477e-19,7.69520188847283e-17,33.2852294677284
"205991_s_at",1.95142704998163,9.39039038594503,11.1117950961329,3.0654971847152e-19,7.75074063652089e-17,33.2736039849233
"222158_s_at",2.34205211978614,9.01976066173532,11.1096385012995,3.09906803618537e-19,7.79679570565301e-17,33.2629022153608
"229818_at",-3.36194388991338,8.03819816050801,-11.1085255862515,3.1165361935645e-19,7.79679570565301e-17,33.2573794490507
"209524_at",-1.03711696316028,11.1544329618373,-11.1078909319813,3.12654177492174e-19,7.79679570565301e-17,33.2542299902853
"212877_at",-2.46718961872964,10.902518602418,-11.1069087032722,3.1420905017542e-19,7.79995402601373e-17,33.2493556582987
"44702_at",1.23128146165916,9.90843354509561,11.0982238693444,3.28298755433906e-19,8.11284159751671e-17,33.2062547487648
"211720_x_at",1.08891265961023,14.1275919829312,11.0921318755005,3.38558154143756e-19,8.32868309560943e-17,33.1760191522645
"203213_at",3.63947550800579,8.63285455078392,11.0896523079671,3.42825370936223e-19,8.36005282153034e-17,33.1637120795417
"201174_s_at",-1.04342137982038,11.9604422177363,-11.0896121720248,3.42894884372365e-19,8.36005282153034e-17,33.1635128663559
"241873_at",-2.37803377890433,7.30255152525966,-11.0831156774492,3.5433468509253e-19,8.60056895864815e-17,33.1312666555269
"203909_at",-1.4955051121907,11.49652317387,-11.0820220790466,3.56297687425922e-19,8.6099493820318e-17,33.1258382178898
"1552879_a_at",-3.2335605714454,6.1817790183011,-11.0794025074056,3.61044228822613e-19,8.68621518444466e-17,33.1128348530911
"222848_at",3.1621346938585,7.99901060907522,11.0777116503349,3.64141576912149e-19,8.72230874557158e-17,33.1044413704567
"227864_s_at",1.80157701808053,9.29097290688959,11.0739872025332,3.71058336850941e-19,8.84917421416613e-17,33.0859525366336
"214805_at",1.16007074054807,9.75910278197111,11.0713596971768,3.76016987536576e-19,8.92844162623261e-17,33.0729086903991
"213399_x_at",1.45607922663299,12.3994918452104,11.0650311788537,3.88234491816921e-19,9.17863649419806e-17,33.0414902667395
